,Media,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
0,FoxNews,Sun Jan 28 21:29:20 +0000 2018,"Michael O'Hanlon: ""Here we are in Iraq having largely defeated the Islamic State... now we have to help Iraq get st… https://t.co/7KDFggHNai",-0.1027,0.105,0.12,0.775,100
1,FoxNews,Sun Jan 28 21:28:01 +0000 2018,"On @foxandfriends, @AlanDersh responded to a newly-unearthed photo from 2005 showing @BarackObama posing next to ""a… https://t.co/UxkPdv6agy",0.0,0.0,0.0,1.0,99
2,FoxNews,Sun Jan 28 21:24:02 +0000 2018,".@POTUS: ""We must replace our current system of extended family chain migration with a merit-based system.""

WATCH:… https://t.co/nrqP2aKhVD",0.0,0.0,0.0,1.0,98
3,FoxNews,Sun Jan 28 21:21:01 +0000 2018,"""As President of the United States, I will always put America First, just like the leaders of other countries shoul… https://t.co/KKs7KeXCp9",0.6486,0.227,0.0,0.773,97
4,FoxNews,Sun Jan 28 21:17:23 +0000 2018,WATCH: @RepSeanDuffy and @RCamposDuffy Invite @USArmy Vet to #SOTU After @maxinewaters Ignores Request… https://t.co/tttSgUZau8,-0.128,0.102,0.134,0.764,96
5,FoxNews,Sun Jan 28 21:13:57 +0000 2018,"RT @FoxBusiness: .@POTUS: ""The world is witnessing the resurgence of a strong and prosperous America."" #Davos2018 https://t.co/S3KKL8WkZ7",0.7506,0.314,0.0,0.686,95
6,FoxNews,Sun Jan 28 21:13:42 +0000 2018,RT @FoxBusiness: DOJ targeting sanctuary cities where 'politicians release criminal aliens onto the streets' https://t.co/AExzpi0vui https:…,-0.5267,0.0,0.185,0.815,94
7,FoxNews,Sun Jan 28 21:13:38 +0000 2018,RT @FoxBusiness: 2018 global growth to roll to highs not seen in eight years: poll   https://t.co/uqUZTCYVd3,0.3818,0.148,0.0,0.852,93
8,FoxNews,Sun Jan 28 21:13:00 +0000 2018,".@NiallStanage on immigration reform: ""@POTUS will have to call on his deal-making abilities to persuade people in… https://t.co/4pEQKkJA0Q",0.25,0.105,0.0,0.895,92
9,FoxNews,Sun Jan 28 21:06:31 +0000 2018,"On @foxandfriends, @Varneyco slammed those accusing President @realDonaldTrump and those who agree with his immigra… https://t.co/XWkKpxxMdp",0.2023,0.137,0.093,0.769,91
10,FoxNews,Sun Jan 28 21:03:01 +0000 2018,"Hillary Clinton aide stayed on after 2008 sexual harassment complaint, but bad behavior continued, report says https://t.co/wW9LNOKknL",-0.8225,0.0,0.381,0.619,90
11,FoxNews,Sun Jan 28 20:56:00 +0000 2018,".@toddstarnes: If @NancyPelosi brings 'Dreamers' to the State of the Union, @realDonaldTrump should bring ICE agents https://t.co/XRn2sGPsPf",0.0,0.0,0.0,1.0,89
12,FoxNews,Sun Jan 28 20:53:03 +0000 2018,"TONIGHT: A special 2-hour SCANDALOUS - First, Episode 1: 'Up Crooked Creek,' then an all-new Episode 2: 'A Woman Na… https://t.co/NLzpfZhbbt",-0.347,0.113,0.173,0.713,88
13,FoxNews,Sun Jan 28 20:51:20 +0000 2018,OPINION: Why energy infrastructure could be a huge win for @POTUS in his State of the Union address https://t.co/q8NYcsz8E8,0.802,0.353,0.0,0.647,87
14,FoxNews,Sun Jan 28 20:47:12 +0000 2018,".@MaryAnastasiaOG on @POTUS in Davos: ""The message was a US leadership message, which we didn't have in the last ei… https://t.co/ncD1f79vP8",0.0,0.0,0.0,1.0,86
15,FoxNews,Sun Jan 28 20:40:27 +0000 2018,".@DanHenninger on WH immigration proposal: ""Immigration is a Pandora's Box in legislative terms.""… https://t.co/EkvOInsQwK",0.0,0.0,0.0,1.0,85
16,FoxNews,Sun Jan 28 20:35:03 +0000 2018,".@rebeccanagle: ""What I would love to see @SenWarren do is take responsibility for her false claim... She doesn't h… https://t.co/Rvca2yiwYV",0.6369,0.189,0.0,0.811,84
17,FoxNews,Sun Jan 28 20:34:45 +0000 2018,'Serial Stowaway' woman arrested again at Chicago O'Hare airport days after being released from jail https://t.co/mbSw21ctHH,-0.4767,0.0,0.171,0.829,83
18,FoxNews,Sun Jan 28 20:29:28 +0000 2018,"A cabal of Hollywood elites, progressive groups and social activists are planning a “People’s State of the Union” a… https://t.co/axsFu4bpDy",0.0,0.0,0.0,1.0,82
19,FoxNews,Sun Jan 28 20:23:19 +0000 2018,"On @foxandfriends, @LawrenceBJones3 slammed DACA recipients who blocked the entrance to @Disneyland in the middle o… https://t.co/UhUqEskgLu",-0.2732,0.0,0.116,0.884,81
20,FoxNews,Sun Jan 28 21:29:20 +0000 2018,"Michael O'Hanlon: ""Here we are in Iraq having largely defeated the Islamic State... now we have to help Iraq get st… https://t.co/7KDFggHNai",-0.1027,0.105,0.12,0.775,80
21,FoxNews,Sun Jan 28 21:28:01 +0000 2018,"On @foxandfriends, @AlanDersh responded to a newly-unearthed photo from 2005 showing @BarackObama posing next to ""a… https://t.co/UxkPdv6agy",0.0,0.0,0.0,1.0,79
22,FoxNews,Sun Jan 28 21:24:02 +0000 2018,".@POTUS: ""We must replace our current system of extended family chain migration with a merit-based system.""

WATCH:… https://t.co/nrqP2aKhVD",0.0,0.0,0.0,1.0,78
23,FoxNews,Sun Jan 28 21:21:01 +0000 2018,"""As President of the United States, I will always put America First, just like the leaders of other countries shoul… https://t.co/KKs7KeXCp9",0.6486,0.227,0.0,0.773,77
24,FoxNews,Sun Jan 28 21:17:23 +0000 2018,WATCH: @RepSeanDuffy and @RCamposDuffy Invite @USArmy Vet to #SOTU After @maxinewaters Ignores Request… https://t.co/tttSgUZau8,-0.128,0.102,0.134,0.764,76
25,FoxNews,Sun Jan 28 21:13:57 +0000 2018,"RT @FoxBusiness: .@POTUS: ""The world is witnessing the resurgence of a strong and prosperous America."" #Davos2018 https://t.co/S3KKL8WkZ7",0.7506,0.314,0.0,0.686,75
26,FoxNews,Sun Jan 28 21:13:42 +0000 2018,RT @FoxBusiness: DOJ targeting sanctuary cities where 'politicians release criminal aliens onto the streets' https://t.co/AExzpi0vui https:…,-0.5267,0.0,0.185,0.815,74
27,FoxNews,Sun Jan 28 21:13:38 +0000 2018,RT @FoxBusiness: 2018 global growth to roll to highs not seen in eight years: poll   https://t.co/uqUZTCYVd3,0.3818,0.148,0.0,0.852,73
28,FoxNews,Sun Jan 28 21:13:00 +0000 2018,".@NiallStanage on immigration reform: ""@POTUS will have to call on his deal-making abilities to persuade people in… https://t.co/4pEQKkJA0Q",0.25,0.105,0.0,0.895,72
29,FoxNews,Sun Jan 28 21:06:31 +0000 2018,"On @foxandfriends, @Varneyco slammed those accusing President @realDonaldTrump and those who agree with his immigra… https://t.co/XWkKpxxMdp",0.2023,0.137,0.093,0.769,71
30,FoxNews,Sun Jan 28 21:03:01 +0000 2018,"Hillary Clinton aide stayed on after 2008 sexual harassment complaint, but bad behavior continued, report says https://t.co/wW9LNOKknL",-0.8225,0.0,0.381,0.619,70
31,FoxNews,Sun Jan 28 20:56:00 +0000 2018,".@toddstarnes: If @NancyPelosi brings 'Dreamers' to the State of the Union, @realDonaldTrump should bring ICE agents https://t.co/XRn2sGPsPf",0.0,0.0,0.0,1.0,69
32,FoxNews,Sun Jan 28 20:53:03 +0000 2018,"TONIGHT: A special 2-hour SCANDALOUS - First, Episode 1: 'Up Crooked Creek,' then an all-new Episode 2: 'A Woman Na… https://t.co/NLzpfZhbbt",-0.347,0.113,0.173,0.713,68
33,FoxNews,Sun Jan 28 20:51:20 +0000 2018,OPINION: Why energy infrastructure could be a huge win for @POTUS in his State of the Union address https://t.co/q8NYcsz8E8,0.802,0.353,0.0,0.647,67
34,FoxNews,Sun Jan 28 20:47:12 +0000 2018,".@MaryAnastasiaOG on @POTUS in Davos: ""The message was a US leadership message, which we didn't have in the last ei… https://t.co/ncD1f79vP8",0.0,0.0,0.0,1.0,66
35,FoxNews,Sun Jan 28 20:40:27 +0000 2018,".@DanHenninger on WH immigration proposal: ""Immigration is a Pandora's Box in legislative terms.""… https://t.co/EkvOInsQwK",0.0,0.0,0.0,1.0,65
36,FoxNews,Sun Jan 28 20:35:03 +0000 2018,".@rebeccanagle: ""What I would love to see @SenWarren do is take responsibility for her false claim... She doesn't h… https://t.co/Rvca2yiwYV",0.6369,0.189,0.0,0.811,64
37,FoxNews,Sun Jan 28 20:34:45 +0000 2018,'Serial Stowaway' woman arrested again at Chicago O'Hare airport days after being released from jail https://t.co/mbSw21ctHH,-0.4767,0.0,0.171,0.829,63
38,FoxNews,Sun Jan 28 20:29:28 +0000 2018,"A cabal of Hollywood elites, progressive groups and social activists are planning a “People’s State of the Union” a… https://t.co/axsFu4bpDy",0.0,0.0,0.0,1.0,62
39,FoxNews,Sun Jan 28 20:23:19 +0000 2018,"On @foxandfriends, @LawrenceBJones3 slammed DACA recipients who blocked the entrance to @Disneyland in the middle o… https://t.co/UhUqEskgLu",-0.2732,0.0,0.116,0.884,61
40,FoxNews,Sun Jan 28 20:20:40 +0000 2018,CA Teacher Caught on Tape: US Military Members 'The Lowest of the Low' https://t.co/wVmrQdzk6R,-0.5719,0.0,0.281,0.719,60
41,FoxNews,Sun Jan 28 20:14:52 +0000 2018,".@TGowdySC on @POTUS meeting with Robert Mueller: ""If there's no collusion and if there's no obstruction of justice… https://t.co/bPRaHozL2s",-0.5267,0.0,0.206,0.794,59
42,FoxNews,Sun Jan 28 20:05:40 +0000 2018,".@TGowdySC on FBI text messages: ""Republicans are better served by letting the texts speak for themselves.""… https://t.co/zlJHQiyCyE",0.4404,0.153,0.0,0.847,58
43,FoxNews,Sun Jan 28 20:05:04 +0000 2018,".@cathymcmorris: ""I was at @Starbucks this last week in Spokane... and they were so excited in the increased benefi… https://t.co/wUwqr9l50N",0.6389,0.225,0.0,0.775,57
44,FoxNews,Sun Jan 28 19:55:35 +0000 2018,".@KarlRove on immigration reform: ""This is not $25 billion for a wall. This is $25 billion for a wall, additional a… https://t.co/AXHmP4XAyT",0.0,0.0,0.0,1.0,56
45,FoxNews,Sun Jan 28 19:53:04 +0000 2018,"JUST IN: Detroit officer shot in the head last week dies
https://t.co/quDyebt5rc",0.0,0.0,0.0,1.0,55
46,FoxNews,Sun Jan 28 19:50:13 +0000 2018,".@jasoninthehouse on immigration reform: ""There is no way that you can give the pathway to citizenship to Dreamers… https://t.co/GZeuLmRGyq",-0.296,0.0,0.109,0.891,54
47,FoxNews,Sun Jan 28 19:48:39 +0000 2018,"Pennsylvania car wash shooting leaves 5 dead, police say https://t.co/3EaT6jefsO",-0.6486,0.0,0.35,0.65,53
48,FoxNews,Sun Jan 28 19:43:09 +0000 2018,".@Marcshort45 on Russia investigation: ""The White House continues to cooperate in every manner providing any docume… https://t.co/Zmk2Zj8CSu",0.0,0.0,0.0,1.0,52
49,FoxNews,Sun Jan 28 19:42:52 +0000 2018,California teacher caught slamming the military. https://t.co/zPnld3wjBd https://t.co/zcBuaRPpaN,0.0,0.0,0.0,1.0,51
50,FoxNews,Sun Jan 28 19:34:49 +0000 2018,".@Marcshort45 on DACA: ""We started by saying we want to protect the 690,000 people who have permits under DACA... w… https://t.co/mgPLtV3Qth",0.4404,0.17,0.0,0.83,50
51,FoxNews,Sun Jan 28 19:30:43 +0000 2018,Cherokee Woman @rebeccanagle Blasts @SenWarren: 'We've Asked Her to Stop' Claiming Our Ancestry… https://t.co/UOnAVvPbDM,-0.296,0.0,0.145,0.855,49
52,FoxNews,Sun Jan 28 19:24:04 +0000 2018,A look at @POTUS' immigration proposal. #FoxNewsSunday https://t.co/PGjhgwIvS6 https://t.co/1e823WJcqt,0.0,0.0,0.0,1.0,48
53,FoxNews,Sun Jan 28 19:21:59 +0000 2018,".@Marcshort45 on #SOTU: ""We have these dramatic threats on the global scene, yet where we are in Congress is we sti… https://t.co/fxNxEWqi9I",-0.4215,0.0,0.118,0.882,47
54,FoxNews,Sun Jan 28 19:17:24 +0000 2018,.@JudgeJeanine: “Citizenship is a privilege. We don’t grant it to people because they think they deserve it.”… https://t.co/5JSCwar6PB,0.6124,0.25,0.0,0.75,46
55,FoxNews,Sun Jan 28 19:09:22 +0000 2018,'Serial Stowaway' woman arrested again at Chicago O'Hare airport days after being released from jail (via… https://t.co/qNxUWo4itG,-0.4767,0.0,0.162,0.838,45
56,FoxNews,Sun Jan 28 18:49:57 +0000 2018,"On @foxandfriends, @DiamondandSilk ripped rapper JAY-Z for calling President @realDonaldTrump a ""superbug."" https://t.co/Xg1AZmcgBc",0.0,0.0,0.0,1.0,44
57,FoxNews,Sun Jan 28 18:47:40 +0000 2018,"Ricky Taylor, Army veteran going to the SOTU: ""I think to boycott [the State of the Union], to me, it's just sacril… https://t.co/y6n0CGWhP0",-0.3182,0.0,0.095,0.905,43
58,FoxNews,Sun Jan 28 18:45:03 +0000 2018,"President @realDonaldTrump responded this morning to recent criticism from rap mogul Jay-Z, who called him a ""super… https://t.co/s8dzgcyk5U",-0.4404,0.0,0.153,0.847,42
59,FoxNews,Sun Jan 28 18:44:09 +0000 2018,Grassley calls out @FBI lovers'  use of 'private' devices during Clinton email probe https://t.co/qRmLHW5sUH,0.5267,0.207,0.0,0.793,41
60,FoxNews,Sun Jan 28 18:38:02 +0000 2018,"In a recent interview on @CNN, JAY-Z had stinging words for President @realDonaldTrump. https://t.co/fTV2ayFUFk https://t.co/skxD7HJQkH",0.0,0.0,0.0,1.0,40
61,FoxNews,Sun Jan 28 18:34:55 +0000 2018,"Justice Ginsburg to skip State of the Union, signals she has no plans to retire https://t.co/MzmrqYWTFY",0.296,0.173,0.112,0.714,39
62,FoxNews,Sun Jan 28 18:23:17 +0000 2018,Anti-Trump celebs plan 'People's State of the Union'     https://t.co/eqR7DEJ2iC,0.0,0.0,0.0,1.0,38
63,FoxNews,Sun Jan 28 18:15:48 +0000 2018,".@USArmy Veteran Ricky Taylor: ""I really think [@maxinewaters] is more concerned with her personal vendetta against… https://t.co/jEuMfXH88U",0.0,0.0,0.0,1.0,37
64,FoxNews,Sun Jan 28 18:12:50 +0000 2018,Steve Wynn contributions to Democrats. https://t.co/rzOtddsHUF,0.0,0.0,0.0,1.0,36
65,FoxNews,Sun Jan 28 18:08:50 +0000 2018,".@ScottBaio denies sexual assault allegations by 'Charles in Charge' co-star @NicoleEggert 
https://t.co/hO2EcpJi70",-0.765,0.0,0.398,0.602,35
66,FoxNews,Sun Jan 28 18:07:26 +0000 2018,".@SebGorka: ""We've already seen from people like Peter Strzok and his paramour, these are people who wanted… https://t.co/BKgqnslN5n",0.3612,0.128,0.0,0.872,34
67,FoxNews,Sun Jan 28 18:01:05 +0000 2018,"Tune in for live coverage of President Trump's first State of the Union address, anchored by @BretBaier &amp;… https://t.co/2QvC2ZGkDv",0.0,0.0,0.0,1.0,33
68,FoxNews,Sun Jan 28 18:00:18 +0000 2018,"On ""Justice,"" @JudgeJeanine called the illegal immigration fight the ""biggest snow job in political history.""… https://t.co/W4Dcg2s35P",-0.7351,0.0,0.307,0.693,32
69,FoxNews,Sun Jan 28 17:58:14 +0000 2018,"Gowdy: FBI's Strzok, Page should testify to answer allegations, questions about 'secret society' https://t.co/NsGl5qqnX3",0.0,0.0,0.0,1.0,31
